"keywords","classes"
"#alitalia","Institution"
"#anpas","Institution"
"#arpal","Institution"
"#berlusconi","Institution"
"#bocchia","Institution"
"#boicottapaita","Institution"
"#burlando","Institution"
"#burlandoboia","Institution"
"#cgil","Institution"
"#clini","Institution"
"#cobas","Institution"
"#comune","Institution"
"#coop","Institution"
"#crivello","Institution"
"#delrio","Institution"
"#doriadimettiti","Institution"
"#dpc","Institution"
"#draghi","Institution"
"#enel","Institution"
"#esercito","Institution"
"#gabrielli","Institution"
"#governo","Institution"
"#italiasicura","Institution"
"#limet","Institution"
"#m5s","Institution"
"#merkel","Institution"
"#meteoam","Institution"
"#ministri","Institution"
"#moretti","Institution"
"#notav","Institution"
"#ossmeteobargone","Institution"
"#paita","Institution"
"#paitavattene","Institution"
"#protezionecivile","Institution"
"#protzionecivile","Institution"
"#provincia","Institution"
"#provinciagenova","Institution"
"#provinciasavona","Institution"
"#regione","Institution"
"#regioneliguria","Institution"
"#renzi","Institution"
"#renziscappa","Institution"
"#renzivaiagenova","Institution"
"#risknat","Institution"
"#rubba","Institution"
"#santanchã","Institution"
"#santanche","Institution"
"#sindacato¶","Institution"
"#sindacatocosafai","Institution"
"#sindaco","Institution"
"#sindacoalbenga","Institution"
"#sindacodoria","Institution"
"#trenitalia","Institution"
"#ue","Institution"
"#unige","Institution"
"#usl","Institution"
"#virginactive","Institution"
"#volontarivvf","Institution"
